"Comment
",Label
"""জনৈক: পাহাড় বাঁচাও, দেশ বাঁচাও!!
উপজাতি: সহমত..
জনৈক: তোদের হাত থেকেই পাহাড়কে বাঁচানোর কথা বলছি।""



",Insensitive
"""পরিকল্পিতভাবে খাগড়াছড়ি 
টেকনিক্যাল কলেজের শিক্ষককে 
পিটিয়ে হত্যা করেছে

উপজাতীয় সশস্ত্র সন্ত্রাসীরা
ভাংচুর করেছে কলেজ!""



",offensive
"""তুমি পাহাড়ি, তুমি বাংলাদেশের ৬৪ জেলায় যেকোনো সময় যেতে পার, চাকরি করতে পার, পড়ালেখা করতে পার। তাহলে সমতলের আমি কেন তোমার পাহাড়ে ঘুরতে গেলে আর্মির পাহারা লাগে? আমি কেন সেখানে ইচ্ছেমতো ঘুরতে পারিনা? আমি কেন পার্বত্য চট্টগ্রামে যেতে হলে বারৈয়ারহাটে অনেক বাস একসাথে হয়ে বিজিবির কড়া পাহাড়ায় যেতে হয়? তাও আবার বিকেলের মধ্যেই আমাকে ঢুকতে হবে।
তুমি পাহাড়ি, কিন্তু তুমি এদেশের যেকোন জায়গায় থাকতে পার, বাড়ি করতে পার। 
কিন্ত আমার পাহাড়ে থাকার অধিকার কেন তুমি মান না""


",offensive
"


""ঢাকা শহরে চাকমা পাইলে পাঠানো হবে 
ঢাকা শহরে কোনো চাকমা যদি পাও 
তাহলে পিঠিয়ে মারিয়ে ফেলো কোনো 
চাকমা যদি রাস্তা দেখো তাহলে পিঠিয়ে 
মারো আমাদের বাঙালি দের কে গুল্লি 
করতে ছে ওরা""





",offensive
"""I still remember Holey Artisan attack. 
glad I never aimed for private
universities.""






",offensive
"""প্রত্যেকটা পাহাড়ি মেয়ের গর্ভে একটা করে বাঙালি সন্তান 
দরকার এখন, আমার বাঙালি ভাইদেরকে বলবো প্রত্যেকটা 
পাহাড়ে মেয়েকে ধরে ধরে ধর্ষণ করে ওদেরকে গর্ভবতী 
করে দাও"" 
Source: 




",offensive
"""ইউপিডিএফ চাচ্ছে সাধারণ চাকমারা যেন ছাত্রদের 
মতো করে ৩ পার্বত্য জেলা স্বাধীন করুক। 
ইউপিডিএফ ছাত্রদেরকে সামনে রেখে আন্দোলন 
করতেছে। যখনই আমি চলে আসে তখন তারা 
পিছু হটতেছে।

অলরেডি ইউপিডিএফ ও জেএসএস একজোট 
হয়ে গেছে সেনাবাহিনীর বিরুদ্ধে যুদ্ধ করার জন্য। 
প্রচুর পরিমাণ Ak47 ও স্নাইপার খাগড়াছড়ি 
(পানছড়ি) বর্ডার দিয়ে ভারতের বিচ্ছিন্ন বাদীদের 
থেকে নিয়ে আসছে।""


",insensitive
"""যারা পাহাড় থেকে সেনা হটানোর দাবি জানাচ্ছেন, আপনারা এইটাও জানেন না যে আপনারা অনেককিছুই জানেন না!""


",insensitive
"""উপজাতি ""রা তোমরা যত দিন না বাঙালি বলে 
পরিচয় না দিচ্ছো ততদিন সাইবার পক্ষ থেকে
নির্যাতন চলবে""



",offensive
"""চ্যাং চুং দের জনপ্রিয় খাবার |""




",insensitive
"""সন্ত্রাসী কর্মকান্ড করবেন আর ধরা পড়লে “নিরীহ” ট্যাগ ব্যাবহার করবেন? পাহাড় আপনাদের হইল কখন?? এটা বাংলাদেশ, পাহাড়-সমতল সবার। সমতল বাসিদের পাহাড়ে দেখলে আপনাদের গা জ্বলে আবার সমতলে সমান অধিকার চান কেমনে? কোন ক্ষমতা বলে পাহাড় নিজেদের দাবি করেন? দেশ স্বাধীনে আপনাদের কি ভূমিকা ছিল? কয় জন ছিলেন মুক্তিযুদ্ধে? পাহাড় সবার, এখানে কারো একক কতৃত্ব চলবে না।
পাহাড়ে সেনা শাসন/অত্যাচার বন্ধ করতে বলেন। “সেনা হটাও, পাহাড় বাঁচাও” - এটা বলে আপনি যে কত বড় বোকা* সেটা প্রমাণ কইরেন না। পাহাড় থেকে সেনা হটাইলে, কু-কি চি-ন এসে পাহাড়ের নিয়ন্ত্ৰণ নিবে এতটুকু বুঝার বুদ্ধি সবার থাকা উচিত।
দেশের সার্বভৌমত্ব আগে। স্বাধীন জুমল্যান্ড হইতে দিয়েন না। বাংলাদেশ এক থাকুক। পাহাড় আমার, সমতল আমার, আমি বাংলাদেশি।।""

",offensive
"""পার্বত্য চট্টগ্রামের পাহাড়গুলোর জঙ্গল পরিষ্কার করে 
সিলেটের মত পরিকল্পিতভাবে চাষাবাদ করলে দেশ এবং 
জাতি উপকৃত হবে।
দেশের চাহিদা মিটিয়ে বিদেশেও রপ্তানি করা যাবে 
খাদ্যপণ্য। উপজাতি জংলীগুলো জুম চাষ ছাড়া কিছুই
জানেনা।""


",offensive
"""When I say, ""Ami upojati cdi"" 
The upojati I meant -"" 





",insensitive
"""আজ থেকে পাহাড়ের স্বাধীনতা ঘোষণা
করা হলো
তারিখটা লিখে রাখো""

পাহাড়ি এলাকা স্বাধীন ঘোষণা করে পোস্ট করে 
চট্টগ্রাম বিশ্ববিদ্যালয়ের ছা:লীগ নেতা :রিপন





",insensitive
"""কোনো জাগায় যদি চাকমা পাও তাহলে 
পিঠিয়ে মারো""




",offensive
"""বলছিনা কয়েক মিনিট ওয়েট করো 
উপজাতিং ঈদ বৃষ্টিতেং মাটিং হয়ে 
গেছেং? এইং নেং চেকং Kafi""



",insensitive
"""উপজাতিং মামলাং দিয়েছে 
আমারং নামেং এখনং আমিং 
আলুটিলাং গুহায়ং পলাতকং।""




",insensitive
"""Never spoke a word during the massacre ekhon 
ashche eshob silly issues niye dorod dekhaite. 
Egula upore uthe niche namar jonno-""





",insensitive
"""কক্সবাজারের চকরিয়ায় যৌথবাহিনীর অভিযান 
পরিচালনা করার সময় লেফটেন্যান্ট তানজিম ছরোয়ার 
নির্জন (বিএ-১১৪৫৩) নিহত হয়েছে।

রাত আনুমানিক আড়াইটার দিকে একটা সোর্সের বরাত 
দিয়ে অস্ত্রসহ স' ন্ত্ৰা' সীর খোঁজ পেয়ে আর্মির একটা টিম 
অভিযানে গিয়েছিলো। লে. তানজিম নেগোসিয়েট করতে 
এগিয়ে যায়, এক পর্যায়ে কথা কাটাকাটি হইলে গলায় ৩ 
বার ছু/রি দিয়ে মারাত্মক আঘাত করে। এরপর বাম চোখে 
একবার আঘাত করে, একদম চোখের ভেতরে ছু/রি 
বসিয়ে দেয়। গলার আঘাত বেশি গভীর হওয়ায় ব্লিডিং হয় 
প্রচুর। সিএমএইচ এ আনার আগেই মা/রা গেছেন।

আল্লাহ তোমাকে বেহেশত নসীব করুন।

আমাদের পার্বত্য চট্টগ্রাম বাসী আসলে কি চায়?""

",offensive
"""আন্দোলন সফল, তবে আংশিক


২৪ ঘন্টার যুদ্ধ শেষে সংবিধান সংশোধন কমিটি থেকে বাদ 
পড়ল কুখ্যাত ব্যারিস্টার দেবাশীষ রায়। তাকে সরানোর 
জন্য লবিং,নিউজ,লেখালেখি বাদ যায় নি কিছুই, সর্বোশক্তি 
দিয়ে ঝাপিয়ে পড়েছিলাম আমরা।


কৃতজ্ঞ: পার্বত্য চট্টগ্রাম ছাত্র পরিষদ""


",insensitive
